No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
23,0.000116836686123749,133103,133087,133104,1.3,1.4,1.1,13832,13829,13832,8.3,11.6,8.5,120,-120.01,0.01,120,-120,0
23,1.25916933594581e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
24,0.000409412041904661,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
24,0.000815857941350402,132957,133029,133126,0,2.4,2.1,13819,13819,13836,8.3,11.6,8.5,119.91,-120.07,-0.01,119.91,-120.05,1
25,0.000383603027803649,133113,133055,133062,1.5,2.2,1.6,13833,13825,13826,9.3,21.5,21.8,120.01,-120.02,0.01,120.03,-120.01,0
25,1.28739073744292e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
26,0.000409255289748103,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
26,0.00080876155015238,132988,132988,133098,0,3.4,2.2,13822,13813,13832,9.3,21.5,21.8,119.91,-120.1,-0.01,119.92,-120.08,1
27,0.000378901126997215,133115,133058,133065,1.5,2.1,1.5,13833,13825,13826,8.4,20.6,20.8,120.01,-120.02,0.01,120.03,-120.01,0
27,1.29190407146194e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
28,0.000409231782560289,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
28,0.00078438142711146,132995,132994,133100,0,3.3,2.1,13823,13814,13832,8.4,20.5,20.8,119.91,-120.09,-0.01,119.93,-120.07,1
29,0.000781133932799205,133128,133017,133017,1.7,3.1,2.1,13835,13819,13819,9.5,34.1,36.5,120.03,-120.03,0.02,120.05,-120.02,0
29,1.33691772015601e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
30,0.0004089585204753,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
30,0.00107870595535792,133039,132941,133071,0,4.6,2.2,13827,13806,13829,9.5,34,36.5,119.9,-120.14,-0.01,119.94,-120.11,1
31,0.000788336644395768,133129,133017,133017,1.7,3.1,2.1,13835,13819,13819,9.2,34,36.5,120.03,-120.03,0.02,120.05,-120.02,0
31,1.32936109998415e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
32,0.000408969263167622,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
32,0.00107745869270567,133043,132942,133071,0,4.6,2.2,13828,13806,13829,9.2,33.9,36.4,119.9,-120.13,-0.01,119.94,-120.11,1
33,0.000913931091993432,133130,133005,132997,1.8,3.5,2.3,13836,13817,13816,10.8,38.6,42.6,120.04,-120.03,0.02,120.07,-120.02,0
33,1.3358756900146e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
34,0.000408882867210086,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
34,0.00116337963363583,133047,132925,133055,0,5.1,2.3,13828,13803,13827,10.8,38.5,42.6,119.9,-120.14,-0.01,119.94,-120.12,1
35,0.00100764133404655,133139,132996,132995,1.9,3.6,2.3,13837,13816,13816,8.9,40.8,43.9,120.04,-120.04,0.02,120.07,-120.03,0
35,1.32885407176629e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
36,0.000408922231595942,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
36,0.00131570824761787,133075,132917,133058,0,5.3,2.1,13831,13802,13827,8.9,40.7,43.9,119.9,-120.16,-0.01,119.94,-120.14,1
37,0.00107123989760388,133139,132988,132987,2,3.8,2.4,13837,13815,13815,9.6,43.5,46.9,120.04,-120.04,0.02,120.07,-120.03,0
37,1.3503912232198e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
38,0.000408834037280747,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
38,0.00139764142658569,133076,132905,133053,0,5.6,2.2,13831,13800,13827,9.6,43.5,46.8,119.9,-120.17,-0.01,119.94,-120.14,1
39,0.000982583590348625,133138,133000,132997,1.8,3.6,2.3,13837,13817,13816,9,39.8,43.2,120.04,-120.03,0.02,120.07,-120.03,0
39,1.33690816078444e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
40,0.000408887483898927,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
40,0.00126906609082164,133072,132922,133058,0,5.2,2.2,13831,13803,13827,9,39.7,43.2,119.9,-120.15,-0.01,119.94,-120.13,1
41,0.000178976182159335,133100,133077,133104,1.5,1.5,1.2,13831,13828,13832,9.9,14.5,9.4,119.99,-120.01,0.01,120,-120.01,0
41,1.2610994205869e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
42,0.000409559715564546,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
42,0.000959228666628782,132945,133011,133131,0,2.7,2.2,13818,13816,13837,9.9,14.4,9.4,119.89,-120.08,-0.01,119.9,-120.06,1
43,0.000175145688034312,133101,133076,133100,1.5,1.5,1.2,13831,13828,13831,9.6,14.6,10.3,119.99,-120.01,0.01,120,-120.01,0
43,1.26146429476207e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
44,0.000409533122247715,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
44,0.000921385677496346,132951,133012,133128,0,2.7,2.2,13818,13816,13836,9.6,14.6,10.3,119.9,-120.08,-0.01,119.9,-120.06,1
45,0.000663262996878468,133122,133016,133047,1.9,2.8,1.7,13834,13819,13824,9.3,32.2,29.5,120.01,-120.03,0.02,120.03,-120.03,0
45,1.33214096808456e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
46,0.000409232776051807,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
46,0.00124178157888617,133018,132935,133103,0,4.5,2.2,13825,13805,13833,9.3,32.2,29.4,119.88,-120.15,-0.01,119.9,-120.13,1
47,0.000704241447387887,133122,133009,133044,2,3,1.7,13834,13818,13823,9.9,34.2,31.1,120.01,-120.04,0.02,120.03,-120.03,0
47,1.32610764889225e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
48,0.000409218983010031,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
48,0.00131761742198278,133017,132924,133102,0,4.7,2.2,13825,13803,13833,9.8,34.2,31.1,119.87,-120.16,-0.01,119.9,-120.13,1
49,0.00246424294689442,133188,132815,132867,3.7,7.2,3.9,13844,13790,13797,9.1,94.4,94.5,120.07,-120.11,0.04,120.14,-120.11,0
49,1.5101096273666e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
50,0.000408550305711565,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
