No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
871,0.011929048511384,131181,131558,133017,40.1,21.6,23.1,13554,13607,13820,584.8,567.7,178.2,119.17,-120.28,0.42,119.25,-119.97,0
871,1.19188845512364e-05,133124,133122,133124,0.7,0.7,0.7,13835,13834,13835,0.5,0.6,0.2,120,-120,0,120,-120,0
872,0.000441454722362136,133026,133090,133133,0,1.3,1.3,13826,13829,13836,0.5,0.6,0.2,119.95,-120.03,-0.01,119.95,-120.02,1
872,0.0343397283191276,126585,129927,133478,0,58.1,60.5,13157,13317,13911,571.4,548.7,178.5,116.63,-121.93,-0.01,116.6,-121.14,1
873,0.00153030255215655,131007,131116,131254,43.8,40.7,41.7,13529,13545,13565,712.9,696.2,660.4,119.9,-120.01,0.46,120.33,-119.55,0
873,1.29631855600092e-05,133123,133122,133122,0.8,0.8,0.8,13834,13834,13834,0.7,0.7,0.7,120,-120,0,120,-120,0
874,0.000433098024417595,133025,133090,133131,0,1.3,1.3,13826,13829,13836,0.7,0.7,0.7,119.95,-120.03,-0.01,119.95,-120.02,1
874,0.0259110626541095,126016,129340,131759,0,70.6,74.6,13097,13228,13665,706,668.4,660.7,117.14,-121.8,-0.01,117.45,-120.81,1
875,0.00117787737307553,131223,131124,131314,41.2,40.4,38.8,13561,13546,13574,654.2,679.5,639.3,119.93,-120.07,0.45,120.35,-119.66,0
875,1.27140468982241e-05,133124,133122,133122,0.7,0.7,0.7,13835,13834,13834,0.6,0.6,0.6,120,-120,0,120,-120,0
876,0.000428693884905697,133026,133090,133131,0,1.3,1.3,13826,13829,13836,0.6,0.6,0.6,119.95,-120.03,-0.01,119.95,-120.02,1
876,0.0238927308165855,126720,129433,131859,0,69.2,68.6,13171,13245,13680,649.1,654.3,638.8,117.28,-121.84,-0.01,117.62,-120.93,1
877,0.0187178995829325,131239,130433,128340,42.4,79.6,75.6,13563,13452,13143,885.1,978.7,1425.9,121.26,-119.68,0.47,122.25,-119.06,0
877,2.72351505059479e-05,133123,133122,133119,0.8,0.8,0.8,13834,13834,13834,1,0.9,1.4,120,-120,0,120,-120,0
878,0.000412788987113614,133025,133090,133128,0,1.3,1.3,13826,13829,13835,1,0.9,1.4,119.96,-120.03,-0.01,119.95,-120.02,1
878,0.00552172512569438,126769,128684,128955,0,99.8,93.8,13176,13141,13263,890.9,950,1424.7,118.52,-121.55,-0.01,119.47,-120.4,1
879,0.0200996013206872,131017,131113,128276,38.4,73.2,79.1,13530,13551,13135,955.9,817.6,1407.3,121.4,-119.26,0.36,122.34,-118.57,0
879,2.7285268951425e-05,133123,133122,133119,0.7,0.8,0.8,13835,13834,13834,0.9,0.9,1.4,120,-120,0,120,-120,0
880,0.000411753589022295,133026,133090,133128,0,1.3,1.3,13826,13829,13836,0.9,0.9,1.4,119.96,-120.03,-0.01,119.95,-120.02,1
880,0.00757818574514441,126058,129574,128558,0,83.8,100.7,13102,13275,13195,958.3,796.7,1409.4,119.16,-120.57,-0.01,119.96,-119.37,1
881,0.0267168268629991,129956,130619,133979,65.6,33,32.7,13379,13471,13961,936.4,938,11.3,118.12,-120.7,0.71,118.05,-120.3,0
881,2.22691997054397e-05,133122,133121,133125,0.8,0.7,0.7,13834,13834,13835,0.9,0.9,0,120,-120,0,120,-120,0
882,0.000471717549014567,133021,133088,133134,0,1.3,1.3,13826,13828,13836,0.9,0.9,0,119.95,-120.03,-0.01,119.95,-120.02,1
882,0.0629476057531333,122628,128083,134631,0,93.8,93.7,12745,13017,14094,892.3,893.2,11.2,113.95,-123.4,-0.01,113.67,-122.25,1
883,0.0302867943461702,129528,130296,134082,74.1,37.2,36.9,13318,13424,13976,1058.1,1059.9,11.7,117.87,-120.79,0.81,117.79,-120.33,0
883,2.21083838480043e-05,133122,133121,133125,0.8,0.7,0.7,13834,13834,13835,0.9,0.9,0,120,-120,0,120,-120,0
884,0.00047129732946033,133021,133088,133134,0,1.3,1.3,13826,13828,13836,0.9,0.9,0,119.95,-120.03,-0.01,119.95,-120.02,1
884,0.0710333858470466,121270,127487,134767,0,105.2,105,12604,12920,14119,1001.6,1002.6,11.5,113.18,-123.81,-0.01,112.84,-122.52,1
885,0.0260482099096158,130002,130564,133891,65.5,33.5,32.2,13386,13463,13948,929.6,941.2,37.9,118.16,-120.71,0.71,118.12,-120.32,0
885,2.29355639686286e-05,133122,133121,133125,0.8,0.7,0.7,13834,13834,13835,1,1,0,120,-120,0,120,-120,0
886,0.000473685272748602,133021,133088,133134,0,1.3,1.3,13826,13828,13836,1,1,0,119.95,-120.03,-0.01,119.95,-120.02,1
886,0.062184688754337,122774,128027,134571,0,94.1,93.1,12761,13009,14086,886.6,895.6,37.1,113.99,-123.44,-0.01,113.73,-122.29,1
887,0.0257673825827012,130036,130590,133883,64.8,33.2,31.8,13391,13466,13947,920,931.6,38,118.18,-120.71,0.71,118.14,-120.31,0
887,2.32676766479755e-05,133122,133121,133125,0.8,0.7,0.7,13834,13834,13835,1,1,0,120,-120,0,120,-120,0
888,0.000474506209106221,133021,133088,133134,0,1.3,1.3,13826,13828,13836,1,1,0,119.95,-120.03,-0.01,119.95,-120.02,1
888,0.0615474251292966,122882,128074,134560,0,93.2,92.2,12772,13016,14084,877.9,887,37.2,114.05,-123.41,-0.01,113.79,-122.27,1
889,0.02719188007593,129668,129854,133538,76,42.7,35.7,13339,13360,13897,1056.6,1124.6,186.2,118.07,-120.9,0.86,118.12,-120.44,0
889,2.06148811980418e-05,133123,133121,133124,0.8,0.7,0.7,13834,13834,13835,0.9,1,0.2,120,-120,0,120,-120,0
890,0.000465571860596571,133022,133088,133134,0,1.3,1.3,13826,13828,13836,0.9,1,0.2,119.95,-120.03,-0.01,119.95,-120.02,1
890,0.0687973348233212,121716,126947,134396,0,111,105.3,12651,12838,14071,1004,1057.8,181.2,113.15,-124.19,-0.01,112.98,-122.87,1
891,0.0207928868281998,130457,130484,133377,60.2,34.8,28,13452,13451,13873,829,895.7,174.6,118.52,-120.73,0.68,118.59,-120.37,0
891,2.19094140612227e-05,133122,133121,133124,0.8,0.7,0.7,13834,13834,13835,1,1,0.2,120,-120,0,120,-120,0
892,0.000470172754644965,133022,133087,133134,0,1.3,1.3,13826,13828,13836,1,1,0.2,119.95,-120.03,-0.01,119.95,-120.02,1
892,0.0539293582780908,124231,128100,134160,0,89.8,83.8,12912,13025,14026,797.3,853.3,170.8,114.59,-123.4,-0.01,114.52,-122.35,1
893,0.0199620943033483,130663,128219,131224,78.6,77.6,40,13486,13126,13561,929.6,1441.7,904.4,119.1,-121.37,0.99,119.73,-120.95,0
893,2.74417856778832e-05,133123,133119,133122,0.8,0.8,0.8,13834,13834,13834,1,1.5,1,120,-120,0,120,-120,0
894,0.000462721767773041,133023,133085,133132,0,1.4,1.3,13826,13828,13836,1,1.5,1,119.95,-120.03,-0.01,119.95,-120.02,1
894,0.0581715071097692,124901,125151,132808,0,141.6,95.1,12982,12577,13859,904.5,1352.2,876.1,113.67,-125.48,-0.01,114.34,-124.24,1
895,0.0190374112550504,130573,128586,131584,76.2,70,37.5,13472,13178,13613,928.3,1349.6,783.4,118.98,-121.26,0.94,119.52,-120.83,0
895,2.88902715079387e-05,133123,133119,133122,0.8,0.8,0.8,13834,13834,13834,0.9,1.5,1,120,-120,0,120,-120,0
896,0.000452648060014652,133025,133085,133132,0,1.4,1.3,13826,13828,13836,0.9,1.5,1,119.95,-120.03,-0.01,119.95,-120.02,1
896,0.0574697818009275,124608,125603,133029,0,132.8,94.7,12951,12645,13886,900.8,1267,760.2,113.76,-125.15,-0.01,114.29,-123.92,1
897,0.0626921097180161,132331,123097,125469,109.1,191.9,100.4,13738,12411,12723,803.2,2834.2,2743.3,121.29,-123.03,1.46,123.49,-122.76,0
897,7.9041854395743e-05,133125,133114,133115,0.8,0.9,0.8,13835,13833,13833,1,3.2,3.2,120,-120,0,120,-120,0
898,0.000428776036009988,133030,133078,133127,0,1.5,1.3,13827,13827,13836,1,3.2,3.2,119.95,-120.04,-0.01,119.95,-120.03,1
898,0.0881412591975105,130441,119221,128972,0,277.1,87.6,13558,11731,13353,830.6,2657.2,2624.1,113.89,-129.51,-0.01,116.73,-128.33,1
899,0.0565682361434346,131873,123582,125553,107.1,184.7,101,13671,12480,12736,912.9,2728.5,2662.8,121.23,-122.68,1.43,123.35,-122.3,0
899,7.94075488354433e-05,133125,133114,133115,0.8,0.9,0.8,13835,13833,13833,0.8,3.1,3.1,120,-120,0,120,-120,0
900,0.000426824130677643,133032,133079,133128,0,1.5,1.3,13827,13827,13836,0.8,3.1,3.1,119.95,-120.04,-0.01,119.95,-120.03,1
900,0.0798185459802992,128928,119712,128763,0,266.4,99,13400,11797,13318,940.3,2554,2557.4,113.89,-128.94,-0.01,116.55,-127.6,1
901,0.000174953517277732,133073,133101,133094,1.6,1.2,1.6,13827,13831,13830,16.2,10.5,11.5,120,-119.99,0.01,120,-119.98,0
901,1.23657874644407e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
902,0.00040963056908399,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
902,0.00100904059558351,132856,133036,133106,0,2.3,2.9,13808,13820,13833,16.2,10.5,11.5,119.91,-120.04,-0.01,119.9,-120.01,1
903,0.000175343742725146,133072,133101,133092,1.6,1.2,1.6,13827,13831,13830,16.5,10.7,12.1,120,-119.99,0.01,120,-119.98,0
903,1.23363025197667e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
904,0.000409678367835513,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
904,0.00100690118086768,132854,133035,133104,0,2.3,2.9,13808,13820,13832,16.5,10.6,12.1,119.91,-120.04,-0.01,119.91,-120.01,1
905,0.000888709951533428,132997,133127,133003,2.4,1.9,3.5,13816,13835,13817,42.9,11.3,39,120.03,-119.94,0.01,120.05,-119.91,0
905,1.20290677817188e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
906,0.000409681014057294,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
906,0.0017236773347443,132605,133045,132990,0,2.4,5.7,13782,13820,13815,42.9,11.3,39,119.93,-119.97,-0.01,119.93,-119.9,1
907,0.00101545710121948,132984,133131,132987,2.5,2,3.9,13814,13836,13815,47.8,11.7,44,120.04,-119.93,0.01,120.06,-119.89,0
907,1.19654223949891e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
908,0.000409759433996531,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
908,0.00187878360198176,132562,133045,132969,0,2.4,6.2,13778,13820,13812,47.7,11.7,44,119.93,-119.95,-0.01,119.93,-119.89,1
909,0.0055752335692736,132557,133294,132455,7.8,7.4,15,13752,13860,13738,207.4,11.5,204.5,120.23,-119.61,-0,120.32,-119.45,0
909,1.10035415010133e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.2,0,0.2,120,-120,-0,120,-120,0
910,0.000409874100292337,133030,133094,133131,0,1.2,1.3,13826,13829,13836,0.2,0,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
910,0.00839065744534998,131146,133122,132281,0,2.4,22.6,13631,13829,13708,206.9,11.4,204.1,120.1,-119.48,-0.01,120.1,-119.24,1
911,0.00579869873250107,132536,133302,132429,8.1,7.6,15.5,13749,13861,13734,215.3,11.5,212.4,120.24,-119.59,-0,120.34,-119.43,0
911,1.09696523605532e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.2,0,0.2,120,-120,-0,120,-120,0
912,0.000409999830350465,133030,133094,133131,0,1.2,1.3,13826,13829,13836,0.2,0,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
912,0.00872173063424916,131076,133125,132247,0,2.4,23.5,13623,13829,13703,214.8,11.5,212,120.11,-119.46,-0.01,120.11,-119.2,1
913,0.0255691076553916,130722,133943,130092,31.6,31.3,62.9,13485,13956,13399,899.1,11.7,897.3,121.13,-118.2,-0.06,121.52,-117.52,0
913,2.63305049444781e-05,133122,133125,133121,0.7,0.7,0.8,13834,13835,13834,1.1,0,1.1,120,-120,-0,120,-120,0
914,0.000412927929627358,133022,133094,133128,0,1.2,1.3,13826,13829,13835,1.1,0,1.1,119.96,-120.02,-0.01,119.95,-120.01,1
914,0.0381110113411939,125151,133411,129221,0,2.4,93.5,13008,13859,13251,889,11.3,887.6,120.99,-117.34,-0.01,120.99,-116.3,1
915,0.026139371114048,130678,133966,130029,32.2,32,64.2,13479,13959,13390,916.7,9.6,915.3,121.16,-118.16,-0.06,121.55,-117.46,0
915,2.21606486865037e-05,133123,133125,133121,0.7,0.7,0.8,13834,13835,13834,0.9,0,0.9,120,-120,-0,120,-120,0
916,0.000412122344040681,133024,133094,133128,0,1.2,1.3,13826,13829,13836,0.9,0,0.9,119.96,-120.02,-0.01,119.95,-120.01,1
916,0.0389566191479802,125010,133429,129136,0,2.2,95.2,12993,13861,13238,906.2,9.3,905,121.03,-117.27,-0.01,121.03,-116.22,1
917,0.083068704601214,125865,135278,123052,96.7,96.8,193.5,12780,14161,12405,2783.6,10.2,2784.5,123.91,-114.17,-0.35,125.11,-111.94,0
917,7.99513768416781e-05,133117,133127,133114,0.8,0.8,0.9,13834,13835,13833,3,0,3,120,-119.99,-0,120.01,-119.99,0
918,0.000430768631318922,133005,133095,133119,0,1.2,1.5,13824,13829,13834,3,0,3,119.96,-120.02,-0.01,119.96,-120.01,1
918,0.124875104903655,110229,133902,120229,0,2.1,279.2,11457,13911,11938,2678.2,9.6,2680,124.86,-110.37,-0.01,124.87,-107.07,1
919,0.0777171524109171,126292,135186,123718,90.9,91,181.8,12842,14146,12498,2614.3,10,2615.5,123.65,-114.54,-0.32,124.77,-112.46,0
919,9.12572982381417e-05,133116,133127,133113,0.8,0.8,0.9,13833,13835,13833,3.4,0,3.4,120,-119.99,-0,120.01,-119.99,0
920,0.000436282670479769,133001,133095,133118,0,1.2,1.6,13824,13829,13834,3.4,0,3.4,119.96,-120.02,-0.01,119.96,-120,1
920,0.116730729548203,111473,133878,121067,0,2.1,263,11586,13908,12059,2521.9,9.4,2523.9,124.43,-111.07,-0.01,124.43,-107.98,1
921,0.000878216906637822,132982,133027,133124,3.5,1.9,2.2,13814,13821,13835,42.3,38.2,11,119.94,-120.01,0.03,119.94,-119.99,0
921,1.18725428898294e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
922,0.000411916495871281,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
922,0.00285590203716329,132552,132878,133167,0,5.1,5.5,13777,13794,13843,42.2,38.1,11.1,119.72,-120.15,-0.01,119.72,-120.08,1
923,0.000804826946669149,132994,133032,133123,3.3,1.9,2.1,13816,13821,13835,39,35.7,10.4,119.95,-120.01,0.03,119.95,-119.99,0
923,1.19054162962023e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
924,0.000411735032084051,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
924,0.00266953589753646,132591,132891,133164,0,4.9,5.2,13781,13796,13842,39,35.6,10.4,119.74,-120.14,-0.01,119.74,-120.08,1
925,0.00101001952006962,132901,133063,133017,4.1,2.2,4.3,13802,13826,13819,66.9,37,43.2,119.98,-119.95,0.03,120,-119.9,0
925,1.15403622667382e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0,0,120,-120,0,120,-120,0
926,0.000411691219554882,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
926,0.00309891608227864,132281,132900,133027,0,5,8.2,13749,13797,13821,66.8,36.9,43.2,119.76,-120.05,-0.01,119.76,-119.95,1
927,0.000950073703327448,132905,133046,133037,4.2,2.3,4,13803,13823,13822,64.8,40.6,38,119.97,-119.96,0.03,119.99,-119.92,0
927,1.14089564285128e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0,0,120,-120,0,120,-120,0
928,0.000411943290791314,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
928,0.00318029479041829,132297,132876,133056,0,5.4,7.9,13750,13793,13826,64.7,40.5,38,119.74,-120.08,-0.01,119.73,-119.98,1
929,0.00479521878883294,132496,133196,132534,8.8,6.6,14.5,13743,13845,13749,210.7,41.9,190.2,120.16,-119.66,0.02,120.24,-119.5,0
929,1.03026389467376e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.2,0,0.2,120,-120,0,120,-120,0
930,0.000412004171387165,133030,133093,133131,0,1.2,1.3,13826,13829,13836,0.2,0,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
930,0.00807950276720566,130941,132941,132406,0,5.5,23,13609,13800,13728,210,41.5,189.9,119.89,-119.64,-0.01,119.88,-119.37,1
931,0.00450613556310098,132516,133181,132568,8.6,6.3,13.9,13746,13843,13754,202.3,43.8,180.6,120.14,-119.68,0.02,120.22,-119.53,0
931,1.0380844932763e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.2,0,0.2,120,-120,0,120,-120,0
932,0.000411745579536412,133030,133093,133131,0,1.2,1.3,13826,13829,13836,0.2,0,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
932,0.00773614400123363,131006,132925,132451,0,5.7,22.2,13616,13797,13735,201.8,43.4,180.4,119.87,-119.68,-0.01,119.86,-119.42,1
933,0.0287530993638092,130329,133971,129674,36.6,35.4,71.8,13428,13960,13339,1032.2,37.2,1022.1,121.26,-117.97,-0.05,121.69,-117.18,0
933,2.53033018890986e-05,133122,133125,133121,0.7,0.7,0.8,13834,13835,13834,1.1,0,1,120,-120,-0,120,-120,0
934,0.000414426122367585,133022,133094,133128,0,1.2,1.3,13826,13829,13835,1.1,0,1,119.96,-120.02,-0.01,119.95,-120.01,1
934,0.0431460945867354,123886,133309,128704,0,4.9,106.9,12876,13840,13176,1018.5,35.8,1009.8,121.02,-117.04,-0.01,121.03,-115.84,1
935,0.026561592086132,130520,133903,129934,34.1,32.8,66.7,13456,13950,13376,959,38.6,948.2,121.15,-118.12,-0.04,121.56,-117.4,0
935,2.23479894330316e-05,133123,133125,133121,0.7,0.7,0.8,13834,13835,13834,0.9,0,0.9,120,-120,-0,120,-120,0
936,0.000413952248057101,133023,133094,133128,0,1.2,1.3,13826,13829,13836,0.9,0,0.9,119.96,-120.02,-0.01,119.95,-120.01,1
936,0.0398854073698558,124499,133274,129042,0,5,99.5,12940,13836,13226,947.2,37.2,937.8,120.9,-117.29,-0.01,120.9,-116.17,1
937,0.093638735362986,124972,135344,121637,108.7,109.3,218,12650,14174,12208,3133.6,40.5,3139.6,124.46,-113.44,-0.41,125.81,-110.9,0
937,7.77546013219516e-05,133117,133127,133114,0.8,0.8,0.9,13834,13835,13833,3,0,3,120,-119.99,-0,120.01,-119.99,0
938,0.000430483516544744,133005,133095,133120,0,1.2,1.5,13824,13829,13834,3,0,3,119.96,-120.02,-0.01,119.96,-120.01,1
938,0.140731709576786,107672,133787,118501,0,5.1,312.5,11191,13891,11692,2998.8,37.9,3009,125.68,-109.05,-0.01,125.71,-105.29,1
939,0.0828223658549318,125836,135205,123014,96.9,97.3,194.1,12776,14151,12400,2790.4,31.6,2795.1,123.91,-114.19,-0.34,125.11,-111.96,0
939,7.86817489267516e-05,133117,133127,133114,0.8,0.8,0.9,13834,13835,13833,3,0,3,120,-119.99,-0,120.01,-119.99,0
940,0.000431053839111919,133005,133095,133120,0,1.2,1.5,13824,13829,13834,3,0,3,119.96,-120.02,-0.01,119.96,-120.01,1
940,0.124331300679498,110140,133791,120213,0,4.2,279.9,11447,13893,11937,2684.7,29.8,2692.3,124.78,-110.46,-0.01,124.8,-107.14,1
941,0.00600224717424536,132388,132543,133308,16,8,8.2,13728,13750,13862,221.8,218.6,10.7,119.58,-120.15,0.16,119.57,-120.05,0
941,1.04868578101947e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0.2,0.2,0,120,-120,0,120,-120,0
942,0.000422053973249103,133029,133092,133132,0,1.3,1.2,13826,13829,13836,0.2,0.2,0,119.96,-120.03,-0.01,119.95,-120.02,1
942,0.0149951158271877,130564,131865,133528,0,23.6,23.8,13570,13630,13903,219.4,216.1,10.8,118.56,-120.83,-0.01,118.52,-120.53,1
943,0.0053088620025167,132464,132607,133281,14.3,7.1,7.4,13739,13760,13858,198.6,195,11.8,119.63,-120.13,0.14,119.62,-120.04,0
943,1.04851999267365e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0.2,0.2,0,120,-120,0,120,-120,0
944,0.0004223159635105,133029,133092,133132,0,1.3,1.2,13826,13829,13836,0.2,0.2,0,119.96,-120.03,-0.01,119.95,-120.02,1
944,0.0133936289780951,130820,131996,133478,0,21.2,21.5,13597,13651,13895,196.7,193,11.9,118.71,-120.74,-0.01,118.68,-120.47,1
945,0.00563448862028977,132332,132571,133225,16.3,7.6,9.2,13720,13754,13850,233.2,216.8,34.8,119.61,-120.11,0.16,119.62,-119.99,0
945,9.66480146033631e-06,133124,133123,133124,0.7,0.7,0.7,13835,13835,13835,0.2,0.2,0,120,-120,0,120,-120,0
946,0.000424121018509898,133029,133092,133132,0,1.3,1.3,13826,13829,13836,0.2,0.2,0,119.96,-120.03,-0.01,119.95,-120.02,1
946,0.014796413927201,130382,131886,133420,0,23.4,25,13551,13633,13887,230.7,214.1,34.9,118.6,-120.75,-0.01,118.55,-120.44,1
947,0.004786409350516,132425,132650,133190,14.3,6.7,8.3,13733,13766,13845,205.2,187.7,36.6,119.67,-120.08,0.14,119.68,-119.98,0
947,9.86573866659096e-06,133124,133123,133124,0.7,0.7,0.7,13835,13835,13835,0.2,0.2,0,120,-120,0,120,-120,0
948,0.0004234555382726,133029,133092,133132,0,1.3,1.3,13826,13829,13836,0.2,0.2,0,119.96,-120.03,-0.01,119.95,-120.02,1
948,0.0128348055405865,130691,132048,133357,0,20.4,22.2,13583,13659,13876,203.4,185.7,36.7,118.79,-120.64,-0.01,118.75,-120.36,1
949,0.00557290959103126,131913,132782,132592,19.2,8.5,19.9,13659,13785,13758,355.7,202,219.1,119.88,-119.74,0.14,119.97,-119.49,0
949,7.56846553531406e-06,133124,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.3,0.2,0.2,120,-120,0,120,-120,0
950,0.000421232953695889,133028,133093,133132,0,1.2,1.3,13826,13829,13836,0.3,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
950,0.0153832348818679,129005,132052,132595,0,21.7,37.9,13408,13655,13763,352.8,198.2,219.3,118.9,-120.18,-0.01,118.87,-119.68,1
951,0.00503828369533729,132026,132798,132668,17.7,7.7,17.8,13675,13787,13769,321.6,187.5,192.8,119.87,-119.78,0.13,119.95,-119.56,0
951,6.96024502883732e-06,133124,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.4,0.2,0.2,120,-120,0,120,-120,0
952,0.00042268974191873,133028,133092,133132,0,1.3,1.3,13826,13829,13836,0.4,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
952,0.0141462775673608,129376,132121,132683,0,20.3,34.4,13447,13667,13775,319.1,184.3,192.9,118.96,-120.2,-0.01,118.93,-119.75,1
953,0.0253518064260593,130003,133475,129892,40.9,33.5,71.8,13381,13888,13371,1066.2,190.1,994.2,120.94,-118.2,0.07,121.38,-117.38,0
953,1.91078570017999e-05,133122,133124,133121,0.7,0.7,0.8,13834,13835,13834,1,0.2,0.9,120,-120,0,120,-120,0
954,0.000421959477379507,133022,133093,133129,0,1.3,1.3,13826,13829,13836,1,0.2,0.9,119.96,-120.02,-0.01,119.95,-120.01,1
954,0.0407582316248698,122824,132430,129116,0,20,110.3,12766,13700,13245,1050.2,181.5,985.8,120.05,-117.8,-0.01,120.05,-116.47,1
955,0.0225612613936334,130209,133347,130192,38.5,30.8,66,13411,13869,13414,985.7,204.9,910,120.81,-118.39,0.09,121.21,-117.65,0
955,1.95229232336622e-05,133122,133124,133121,0.7,0.7,0.8,13834,13835,13834,1,0.2,1,120,-120,0,120,-120,0
956,0.00042266211918517,133022,133093,133128,0,1.3,1.3,13826,13829,13836,1,0.2,1,119.96,-120.02,-0.01,119.95,-120.01,1
956,0.0369301152269788,123481,132309,129527,0,21.5,102.1,12834,13682,13307,972,196.2,903.8,119.84,-118.15,-0.01,119.85,-116.92,1
957,0.079235724361902,125669,134630,122999,97.3,98.8,195,12751,14068,12398,2799.1,191.9,2813.4,123.73,-114.45,-0.21,124.99,-112.2,0
957,7.94900454074094e-05,133117,133127,133114,0.8,0.8,0.9,13834,13835,13833,3.1,0.2,3.1,120,-119.99,-0,120.01,-119.99,0
958,0.000435433109307139,133004,133094,133119,0,1.2,1.5,13824,13829,13834,3.1,0.2,3.1,119.96,-120.02,-0.01,119.96,-120.01,1
958,0.118436894993342,109603,132930,120399,0,19.7,280.9,11392,13759,11976,2693.8,178.3,2725.5,123.97,-111.31,-0.01,124.07,-107.91,1
959,0.085981582179135,125179,134712,122103,104,106.9,209.8,12680,14082,12273,3006.3,197.8,3034.6,124.1,-114,-0.25,125.46,-111.56,0
959,8.22615387063461e-05,133117,133127,133114,0.8,0.8,0.9,13834,13835,13833,3.2,0.2,3.2,120,-119.99,-0,120.01,-119.99,0
960,0.00043698312669829,133003,133094,133119,0,1.2,1.6,13824,13829,13834,3.2,0.2,3.2,119.96,-120.02,-0.01,119.96,-120.01,1
960,0.128163195601621,108203,132946,119298,0,20.3,300.7,11246,13760,11817,2884.9,184.5,2931.9,124.57,-110.46,-0.01,124.69,-106.8,1
961,0.0273560799036408,129861,130579,133992,67.2,33.5,33.7,13366,13465,13963,961.1,958.2,12.3,118.08,-120.7,0.73,118.01,-120.29,0
961,2.47234016920887e-05,133122,133121,133125,0.8,0.7,0.7,13834,13834,13835,1,1,0,120,-120,0,120,-120,0
962,0.000478510957591526,133020,133088,133134,0,1.3,1.3,13825,13828,13836,1,1,0,119.95,-120.03,-0.01,119.95,-120.02,1
962,0.0644299334308554,122325,127994,134640,0,95.7,96,12714,13002,14096,914.7,911.3,12.4,113.83,-123.45,-0.01,113.52,-122.26,1
963,0.0265515143590113,129966,130656,133976,65.1,32.5,32.6,13381,13476,13961,931.2,928.9,9.7,118.13,-120.68,0.7,118.07,-120.28,0
963,2.3804620792572e-05,133122,133121,133125,0.8,0.7,0.7,13834,13834,13835,1,1,0,120,-120,0,120,-120,0
964,0.000476142539859698,133021,133088,133134,0,1.3,1.3,13826,13828,13836,1,1,0,119.95,-120.03,-0.01,119.95,-120.02,1
964,0.0625230752977604,122661,128139,134617,0,93,93.2,12749,13026,14092,887.6,884.9,9.7,114.01,-123.35,-0.01,113.72,-122.2,1
965,0.023528158991228,130207,130898,133794,59.6,29.2,30.6,13415,13511,13934,857.4,843.1,39.9,118.35,-120.57,0.64,118.31,-120.19,0
965,2.20197789750733e-05,133122,133121,133125,0.8,0.7,0.7,13834,13834,13835,1,1,0,120,-120,0,120,-120,0
966,0.000472816132444832,133021,133088,133134,0,1.3,1.3,13826,13828,13836,1,1,0,119.95,-120.03,-0.01,119.95,-120.02,1
