No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
1,1.25310530954159e-05,133125.267581426,133123.962600317,133124.074899675,0.711759576795129,0.711752846856223,0.711839856720179,7987.49413232894,7987.4874615569,7987.41616561402,0.000209707751928995,0.000209709891243065,0.00020970812914175,120.000535923973,-120.000705076846,29.9993521219525,150.000591811884,-90.0001130274692,0
2,0.00040906698407745,133031.622200075,133093.5020769,133132.070160276,0.000160864743791757,1.23193313395388,1.23268522541486,7985.95535991083,7982.02092292098,7987.45468076094,0.000209668372831851,0.000209567159334655,0.000209707283669575,119.956487441307,-120.026569314802,29.9992449280074,149.970668168782,-90.0400065605592,1
3,1.25366131825209e-05,133125.267581426,133123.96238312,133124.073333924,0.711759576794227,0.711769985810389,0.71186007092684,13833.7843746037,13833.7730184313,1.0102412556582,0.000363200705653592,0.000363204416146784,0.000629071332209116,120.000536648145,-120.000704795724,59.9972037450579,120.00262827492,-90.0001120882509,0
4,0.00040905679648125,133031.622198478,133093.501859547,133132.068594628,0.000160864743144733,1.23194124899622,1.23269868443094,13835.2069498473,13828.3946194301,1.01024612676817,0.000363236634790692,0.000363061386722705,0.000629068795843096,119.956488166332,-120.026569032874,59.9805081269744,119.95611474638,-90.0400056234372,1
5,1.25357652440045e-05,133125.267364045,133123.961034534,133124.074899649,0.711776717277723,0.7117730614471,0.711839857670544,13833.9080473135,1.01025027375268,13833.7728117271,0.000363203762669453,0.000629076618225314,0.000363204410742202,120.000535480938,-120.000705800983,0.00209261815323458,150.000592021633,-60.0015572856319,0
6,0.000409080828881271,133031.621437372,133093.499611322,133132.070909453,0.000160868546309003,1.23197622112338,1.23269334277467,13825.7975110109,1.0095616294559,13828.3950545595,0.000362993986022627,0.000628648450053878,0.000363061397768636,119.956485461639,-120.026571462458,-0.00461951532679805,149.970459741887,-60.04807307131,1
7,0.000134508728342386,133129.736202581,133109.86524511,133112.555896139,0.77976891968483,1.00793114418571,0.812399323126595,11980.9885356892,6916.30311011454,6916.30300676786,0.000314554994397991,4.30675666127292,4.30675659711126,120.003868746573,-120.005959839029,29.9947386688684,120.009145401962,-59.9950394347727,0
8,0.000407348958373448,133046.278933784,133075.254140457,133127.081286431,0.000176183904148235,1.60761170503033,1.23287110217218,11980.0568675268,6913.25390789093,6913.25421866908,0.000314532063924028,4.3048363374593,4.30483652658624,119.951230897502,-120.042176492092,29.9889975215851,119.955633631551,-60.0485527451132,1
9,1.2520769554384e-05,133125.266015607,133123.962600343,133124.074682438,0.711779790629353,0.711752845905884,0.711856996933789,1.01025111646646,13833.9078501005,13833.784559705,0.000629070200736405,0.000363203757799717,0.000363200710857872,120.000535642899,-120.000704633732,29.9993528004733,179.997908387412,-119.998611713202,0
10,0.000409084585614174,133031.616969473,133093.501326644,133132.069791881,0.000160869328541067,1.23194654063375,1.23272833340375,1.0100588888748,13825.7964734327,13835.2073360649,0.000628952064941823,0.000362993959075132,0.000363236644855117,119.95648625871,-120.026569101659,29.9995691094524,179.99119387008,-120.015310643575,1
11,0.000116781867648542,133113.748800124,133128.432729709,133109.977621729,0.812309509645339,0.779741385606434,1.00801676160129,6916.30878398461,11980.9786236439,6916.30887644748,4.3067126657307,0.000314558205708347,4.30671272749806,120.005791047713,-119.992117027546,60.0089760849006,150.001233057162,-119.986839085979,0
12,0.000450474938475978,132993.283404333,133095.599451817,133113.806218086,0.000183570294704621,1.23176885075497,1.6561388153181,6916.65945848293,11971.4028798458,6916.65974203456,4.30691418704169,0.000314307983697858,4.3069143647295,119.960698421267,-120.014161268276,59.9976907360055,149.967742347433,-119.99812807871,1
13,0.000115703681652989,133111.168553093,133112.443613156,133128.544152668,1.00793924553436,0.812307101441923,0.779851527510542,6916.3705614612,6916.37046280419,11980.8716333061,4.30674886813703,4.30674881073267,0.000314555561332355,119.99194875432,-120.00403717383,0.00527768097359171,180.001092994273,-90.0080589178229,0
14,0.000698565836384316,132984.264415469,133068.931843523,133141.275096988,0.000227685658717027,1.65475929455457,1.60825552058687,6910.87512403741,6910.87460530412,11980.9293945709,4.30336496214412,4.30336464222315,0.000314554292766775,119.928607756534,-120.042990428225,-0.00461802710222869,179.991193806133,-90.0663505643283,1
15,1.25253356410118e-05,133111.168553109,133109.865555566,133109.9773113,1.00793924547715,1.00791980452268,1.00802810124475,7986.31519787241,7986.30859529763,7986.23733987945,4.9729743599049,4.97302512741042,4.97298337412009,120.000536441773,-120.000704283444,30.0025376267392,150.003776799001,-89.9969271656625,0
16,0.000577048874793351,132984.264416083,133066.351649186,133122.710275442,0.0002276856596313,1.74407523850155,1.74554294549479,7984.4469396547,7978.67723175598,7986.27580755006,4.97183541544894,4.96829264607168,4.97296330634098,119.937198365684,-120.03965533126,30.0006058426533,149.961687990545,-90.0552189192546,1
