No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
7784,0.0315857547033374,125434,128987,132105,0,75.7,78,13037,13171,13719,739.4,717.1,603.3,116.6,-122.14,-0.01,116.86,-121.1,1
7785,0.00539875733291881,131025,131083,131808,44.9,36,35.2,13532,13539,13645,682.8,694.6,520.6,119.62,-120.17,0.48,119.95,-119.76,0
7786,0.030352973384005,126073,129261,132367,0,70.4,71.1,13103,13214,13755,673,666.3,520.2,116.75,-122.07,-0.01,116.97,-121.12,1
7787,0.00458987205643073,130341,130339,130978,59,51.8,50.4,13434,13433,13526,919.4,940.4,791.3,119.68,-120.16,0.64,120.19,-119.59,0
7788,0.0371766380081075,123861,128003,131655,0,93.7,95.2,12874,13015,13663,904.7,890.3,790.6,115.92,-122.63,-0.01,116.29,-121.36,1
7789,0.00476017704610516,130180,129611,130333,67,66.4,58.1,13412,13329,13433,1012.9,1144.8,1002.1,119.78,-120.33,0.76,120.45,-119.7,0
7790,0.039724446910207,123343,126973,131219,0,113.1,105,12820,12856,13609,998.6,1077.9,997.5,115.42,-123.3,-0.01,115.98,-121.89,1
7791,0.00523301214400263,130263,129575,130329,66.5,67.1,57.3,13425,13323,13432,993,1149.3,1004.5,119.79,-120.37,0.76,120.48,-119.75,0
7792,0.0392316211985603,123611,126951,131248,0,113.7,103,12848,12854,13614,979.7,1083.2,999,115.44,-123.35,-0.01,116.02,-121.97,1
7793,0.0218782924854251,130600,127258,128252,83.4,114.9,76.5,13478,12995,13130,1061.8,1775.2,1687,120.36,-121.11,1.06,121.62,-120.49,0
7794,0.0464551861419022,124713,124026,129988,0,174.1,111.7,12962,12417,13458,1063.7,1665.4,1654.5,114.63,-125.48,-0.01,115.99,-123.98,1
7795,0.0254013442864855,131147,127272,128374,78.4,114.5,71.2,13557,12997,13147,916.7,1749.7,1661.9,120.45,-121.28,1.01,121.7,-120.76,0
7796,0.0466909579785119,126473,124218,130243,0,172.8,97.1,13145,12453,13494,922.7,1652.5,1625.1,115.01,-125.59,-0.01,116.44,-124.28,1
7797,0.0631322154531226,132682,123436,125578,103.3,187.6,98.4,13787,12460,12739,703.5,2746.3,2695.8,121.41,-122.98,1.38,123.57,-122.76,0
7798,0.0871015094625589,131578,119776,129055,0,270.1,77.2,13676,11820,13361,730.7,2589.4,2583.7,114.45,-129.21,-0.01,117.28,-128.17,1
7799,0.0708938350509191,132116,121763,124488,122.6,215.5,113,13711,12226,12581,910.7,3184.5,3084.3,121.44,-123.44,1.64,123.95,-123.14,0
7800,0.0983859013463689,129810,117490,128334,0,308.7,99.4,13492,11474,13273,944.5,2961.3,2935.5,113.14,-130.59,-0.01,116.36,-129.25,1
7801,0.000141146291012771,130519,130542,130535,54.1,53.8,54.1,13460,13463,13462,891.7,886.8,887.6,120,-119.99,0.58,120.58,-119.41,0
7802,0.030078282320197,124434,128386,131137,0,88.8,92.9,12933,13077,13583,882.6,843.7,887.7,116.59,-122.21,-0.01,117.03,-120.97,1
7803,0.000174567278994437,130804,130829,130828,48.4,48,48.3,13500,13504,13504,795.9,790.7,790.1,119.99,-119.99,0.52,120.51,-119.47,0
7804,0.0270109604295906,125356,128881,131387,0,79.7,83.2,13029,13156,13615,788.8,756.2,790.2,116.94,-121.99,-0.01,117.33,-120.88,1
7805,0.000938134135931553,130928,131052,130916,44.8,44.7,46.4,13518,13536,13516,754.1,724.8,752.1,120.04,-119.93,0.47,120.52,-119.44,0
7806,0.0246401372129303,125760,129242,131411,0,73.4,78.9,13071,13213,13615,748.1,695.3,752.6,117.23,-121.74,-0.01,117.6,-120.69,1
7807,0.000992688436570997,130348,130480,130337,56.4,56.2,58.1,13435,13454,13434,947.8,916.7,945,120.04,-119.93,0.6,120.65,-119.3,0
7808,0.0309472381736768,123883,128249,130916,0,91.6,98.6,12876,13055,13552,937.8,870.1,945.8,116.52,-122.18,-0.01,116.98,-120.87,1
7809,0.00417346156512737,131224,131754,131125,34.9,34.9,42.2,13560,13637,13547,652.5,523.8,653.8,120.18,-119.71,0.33,120.59,-119.26,0
7810,0.0185128466379867,126734,130355,131387,0,53.8,68.6,13172,13388,13601,648.6,506.7,655.3,118.12,-120.92,-0.01,118.39,-120.03,1
7811,0.00339319735963942,130612,131040,130532,48.2,48.2,54.1,13472,13535,13462,858.3,755.4,859.1,120.15,-119.76,0.48,120.69,-119.18,0
7812,0.0257303856196777,124740,129128,130948,0,76.2,89.6,12965,13193,13549,850.9,722,861,117.23,-121.56,-0.01,117.61,-120.37,1
7813,0.0155039299915116,130271,132184,129850,42.5,43.4,67.6,13421,13701,13364,991.3,498.3,1002.6,120.7,-118.92,0.28,121.26,-118.19,0
7814,0.0271589579548582,123658,130681,129674,0,50.8,103.2,12852,13432,13346,981.6,478.2,1004.6,118.75,-119.65,-0.01,119.01,-118.36,1
7815,0.0136818085519148,129291,130936,128885,63.1,64.4,86.4,13281,13523,13227,1306.4,891.2,1323.8,120.63,-119.05,0.55,121.42,-118.11,0
7816,0.034325133639538,120520,128610,128961,0,88.3,135.2,12526,13104,13263,1289.4,838.7,1329.7,117.25,-120.77,-0.01,117.71,-119.01,1
7817,0.0249027222754544,128877,131843,128112,61.3,63.7,101.1,13219,13655,13117,1476.4,696.7,1505.1,121.15,-118.27,0.38,121.98,-117.16,0
7818,0.0413233700552435,119223,129790,127683,0,69.4,152.2,12392,13285,13065,1453.7,657.1,1507.3,118.56,-119.09,-0.01,118.94,-117.16,1
7819,0.0166839262747935,129001,130983,128481,65.9,67.8,94.1,13239,13530,13169,1408.9,902.6,1433.5,120.77,-118.84,0.55,121.62,-117.81,0
